url,merk,model,varian,title,tahun,kilometer,warna,engine cc,transmisi,penumpang,pintu,panjang,lebar,tinggi,harga
https://www.carmudi.co.id/dijual/mitsubishi-xpander-gls-jawa-timur-kediri/12186389,Mitsubishi,Xpander,GLS,2019 Mitsubishi Xpander 1.5 GLS Wagon,2019,30 - 35K km,Hitam,1499 cc,Manual,7,5,4475,1750,1695,Rp 197.000.000
https://www.carmudi.co.id/dijual/toyota-avanza-g-tss-jawa-timur-wonosari/11453695?carsome=true,Toyota,Avanza,G TSS,2021 Toyota Avanza G TSS MPV,2021,15 - 20K km,Silver,1496 cc,Automatic,7,5,4395,1730,1700,Rp 240.000.000
https://www.carmudi.co.id/dijual/mitsubishi-xpander-sport-jawa-barat-pajajaran/11543368?carsome=true,Mitsubishi,Xpander,SPORT,2019 Mitsubishi Xpander SPORT Wagon,2019,50 - 55K km,Merah,1499 cc,Automatic,7,5,4475,1750,1700,Rp 215.000.000
https://www.carmudi.co.id/dijual/daihatsu-terios-x-deluxe-jawa-timur-gresik/12180011,Daihatsu,Terios,X Deluxe,2018 Daihatsu Terios 1.5 X Deluxe SUV MANUAL,2018,35 - 40K km,Silver,1496 cc,Manual,7,5,4435,1695,1705,Rp 195.000.000
https://www.carmudi.co.id/dijual/nissan-juke-rx-jawa-timur-bojonegoro/12186449,Nissan,Juke,RX,2011 Nissan Juke 1.5 RX SUV,2011,85 - 90K km,Hitam,1498 cc,Automatic,5,5,4135,1765,1565,Rp 135.000.000
https://www.carmudi.co.id/dijual/honda-brio-satya-e-jawa-barat-beji/12152180,Honda,Brio,Satya E,2017 Honda Brio Satya E Hatchback,2017,10 - 15K km,Abu-abu,1199 cc,Manual,5,5,3640,1680,1485,Rp 125.000.000
https://www.carmudi.co.id/dijual/honda-brio-satya-e-jawa-barat-parongpong/12186498,Honda,Brio,Satya E,"2018 Honda Brio 1,2 Satya E Hatchback",2018,76228 km,Abu-abu,1199 cc,Manual,5,5,3800,1680,1485,Rp 125.000.000
https://www.carmudi.co.id/dijual/honda-hr-v-e-jawa-barat-tajur/12186517?carsome=true,Honda,HR-V,E,2020 Honda HR-V E SUV,2020,55 - 60K km,Putih,1497 cc,Automatic,5,5,4294,1772,1580,Rp 284.000.000
https://www.carmudi.co.id/dijual/nissan-serena-highway-star-banten-alam-sutera/12186399,Nissan,Serena,Highway Star,"2017 Nissan Serena 2.0 Highway Star MPV Unit paling laris dan bergaransi , pajak hidup",2017,50 - 55K km,Hitam,1997 cc,Automatic,7,5,4770,1735,1865,Rp 230.000.000
https://www.carmudi.co.id/dijual/toyota-calya-g-jawa-barat-bekasi-barat/12148081?carsome=true,Toyota,Calya,G,2020 Toyota Calya G MPV,2020,50 - 55K km,Hitam,1197 cc,Manual,7,5,4070,1655,1600,Rp 140.000.000
https://www.carmudi.co.id/dijual/isuzu-panther-ls-jawa-barat-padalarang/12186492,Isuzu,Panther,LS,"2009 Isuzu Panther 2,5 LS SUV",2009,223208 km,Hitam,2499 cc,Manual,7,5,4475,1680,1790,Rp 165.000.000
https://www.carmudi.co.id/dijual/mitsubishi-xpander-sport-dki-jakarta-lebak-bulus/11335638?carsome=true,Mitsubishi,Xpander,SPORT,2019 Mitsubishi Xpander SPORT Wagon,2019,60 - 65K km,Silver,1499 cc,Automatic,7,5,4475,1750,1700,Rp 207.000.000
https://www.carmudi.co.id/dijual/mitsubishi-xpander-ultimate-dki-jakarta-kalibata/11484771?carsome=true,Mitsubishi,Xpander,ULTIMATE,2018 Mitsubishi Xpander ULTIMATE Wagon,2018,95 - 100K km,Abu-abu,1499 cc,Automatic,7,5,4475,1750,1700,Rp 207.000.000
